"armor","artist","attack","cardClass","classes__001","classes__002","classes__003","collectible","collectionText","cost","dbfId","faction","entourage__001","entourage__002","entourage__003","entourage__004","entourage__005","entourage__006","entourage__007","entourage__008","entourage__009","entourage__010","durability","elite","flavor","hideStats","howToEarn","howToEarnGolden","health","id","mechanics__001","mechanics__002","mechanics__003","mechanics__004","multiClassGroup","name","questReward","playRequirements__REQ_CANNOT_PLAY_THIS","playRequirements__REQ_TARGET_IF_AVAILABLE_AND_MINIMUM_FRIENDLY_SECRETS","playRequirements__REQ_FROZEN_TARGET","playRequirements__REQ_SECRET_ZONE_CAP_FOR_NON_SECRET","playRequirements__REQ_FRIENDLY_MINIONS_OF_RACE_DIED_THIS_GAME","playRequirements__REQ_DRAG_TO_PLAY","playRequirements__REQ_MINIMUM_TOTAL_MINIONS","playRequirements__REQ_DAMAGED_TARGET","playRequirements__REQ_WEAPON_EQUIPPED","playRequirements__REQ_MINION_SLOT_OR_MANA_CRYSTAL_SLOT","playRequirements__REQ_HERO_TARGET","playRequirements__REQ_LEGENDARY_TARGET","playRequirements__REQ_FRIENDLY_MINION_DIED_THIS_GAME","playRequirements__REQ_TARGET_IF_AVAILABLE_AND_MINIMUM_FRIENDLY_MINIONS","playRequirements__REQ_NUM_MINION_SLOTS","playRequirements__REQ_TARGET_MAX_ATTACK","overload","playRequirements__REQ_FRIENDLY_TARGET","playRequirements__REQ_TARGET_FOR_COMBO","playRequirements__REQ_MINIMUM_ENEMY_MINIONS","playRequirements__REQ_ENEMY_TARGET","race","playRequirements__REQ_MINION_TARGET","playRequirements__REQ_TARGET_IF_AVAILABLE_AND_NO_3_COST_CARD_IN_DECK","playRequirements__REQ_MUST_TARGET_TAUNTER","playRequirements__REQ_STEALTHED_TARGET","playRequirements__REQ_NONSELF_TARGET","playRequirements__REQ_TARGET_IF_AVAILABE_AND_ELEMENTAL_PLAYED_LAST_TURN","playRequirements__REQ_TARGET_IF_AVAILABLE_AND_DRAGON_IN_HAND","playRequirements__REQ_TARGET_IF_AVAILABLE","playRequirements__REQ_TARGET_MIN_ATTACK","playRequirements__REQ_TARGET_WITH_DEATHRATTLE","playRequirements__REQ_TARGET_TO_PLAY","playRequirements__REQ_UNDAMAGED_TARGET","playRequirements__REQ_TARGET_WITH_RACE","rarity","referencedTags__001","referencedTags__002","referencedTags__003","referencedTags__004","set","spellDamage","targetingArrowText","text","type"
"","Nutthapon Petchthai","","MAGE","","","","True","","5","2539","","","","","","","","","","","","","","It's on the rack next to ice lance, acid lance, and English muffin lance.","","","","","AT_001","","","","","","Flame Lance","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","COMMON","","","","","TGT","","","Deal $8 damage to a minion.","SPELL"
"","Tooth","","MAGE","","","","True","","3","2541","","","","","","","","","","","","","","Burning man, brah.","","","","","AT_002","SECRET","","","","","Effigy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","RARE","","","","","TGT","","","<b>Secret:</b> When a friendly minion dies, summon a random minion with the same Cost.","SPELL"
"","Arthur Bozonnet","3","MAGE","","","","True","","2","2545","","","","","","","","","","","","","","And he can't get up.","","","","2","AT_003","HEROPOWER_DAMAGE","","","","","Fallen Hero","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","RARE","","","","","TGT","","","Your Hero Power deals 1 extra damage.","MINION"
"","Gabor Szikszai","","MAGE","","","","True","","1","2572","","","","","","","","","","","","","","Now with 100% more blast!","","","","","AT_004","RECEIVES_DOUBLE_SPELLDAMAGE_BONUS","","","","","Arcane Blast","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","EPIC","SPELLPOWER","","","","TGT","","","Deal $2 damage to a minion. This spell gets double bonus from <b>Spell Damage</b>.","SPELL"
"","Mike Sass","","MAGE","","","","True","","3","2542","","","","","","","","","","","","","","It's always Huffer.","","","","","AT_005","","","","","","Polymorph: Boar","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","RARE","CHARGE","","","","TGT","","","Transform a minion into a 4/2 Boar with <b>Charge</b>.","SPELL"
"","Dan Scott","3","MAGE","","","","True","","4","2549","","","","","","","","","","","","","","Is he aspiring or inspiring?  Make up your mind!","","","","5","AT_006","INSPIRE","","","","","Dalaran Aspirant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","COMMON","SPELLPOWER","","","","TGT","","","<b>Inspire:</b> Gain <b>Spell Damage +1</b>.","MINION"
"","Andrew Hou","3","MAGE","","","","True","","3","2571","","","","","","","","","","","","","","Does he sling spells, or do his spells linger about.  Who can say?","","","","4","AT_007","BATTLECRY","","","","","Spellslinger","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","COMMON","","","","","TGT","","","<b>Battlecry:</b> Add a random spell to each player's hand.","MINION"
"","Christopher Moeller","6","MAGE","","","","True","","6","2544","","","","","","","","","","","","","","The Grand Tournament has a ""No dragons allowed"" policy, but it's rarely enforced.","","","","6","AT_008","","","","","","Coldarra Drake","","","","","","","","","","","","","","","","","","","","","","","DRAGON","","","","","","","","","","","","","","EPIC","","","","","TGT","","","You can use your Hero Power any number of times.","MINION"
"","Zoltan & Gabor","7","MAGE","","","","True","","8","2546","","","","","","","","","","","","","True","A masterless shamurai.","","","","7","AT_009","DEATHRATTLE","","","","","Rhonin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","LEGENDARY","","","","","TGT","","","<b>Deathrattle:</b> Add 3 copies of Arcane Missiles to your hand.","MINION"
"","Brandon Kitkouski","3","HUNTER","","","","True","","5","2552","","","","","","","","","","","","","","Not getting trampled is really the trick here.","","","","3","AT_010","BATTLECRY","","","","","Ram Wrangler","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","RARE","","","","","TGT","","","<b>Battlecry:</b> If you have a Beast, summon a\nrandom Beast.","MINION"
"","Alex Garner","3","PRIEST","","","","True","","4","2555","","","","","","","","","","","","","","She really likes seeing people get better.  That's why she hurts them in the first place.","","","","5","AT_011","TRIGGER_VISUAL","","","","","Holy Champion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","COMMON","","","","","TGT","","","Whenever a character is healed, gain +2 Attack.","MINION"
"","Dave Allsop","5","PRIEST","","","","True","","4","2551","","","","","","","","","","","","","","What did you expect to happen?  He's a Spawn.  Of Shadows.","","","","4","AT_012","INSPIRE","","","","","Spawn of Shadows","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","RARE","","","","","TGT","","","<b>Inspire:</b> Deal 4 damage to each hero.","MINION"
"","Mike Sass","","PRIEST","","","","True","","1","2568","","","","","","","","","","","","","","The promise of glory is a powerful tool to get minions to do your bidding.  Only slightly less powerful than the promise of an ice cream bar!","","","","","AT_013","","","","","","Power Word: Glory","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","COMMON","","","","","TGT","","","Choose a minion. Whenever it attacks, restore 4 Health to\nyour hero.","SPELL"
"","Warren Mahy","3","PRIEST","","","","True","","3","2566","","","","","","","","","","","","","","Hopes to be promoted to ""Shadowfriend"" someday.","","","","3","AT_014","TRIGGER_VISUAL","","","","","Shadowfiend","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPIC","","","","","TGT","","","Whenever you draw a card, reduce its Cost by (1).","MINION"
"","Dan Dos Santos","","PRIEST","","","","True","","2","2563","","","","","","","","","","","","","","""Are you interested in... HEALTH benefits?!""","","","","","AT_015","","","","","","Convert","","","","","","","","","","","","","","","","","","","","","","0","","0","","","","","","","","","","0","","","RARE","","","","","TGT","","","Put a copy of an enemy minion into your hand.","SPELL"
"","Sean O'Danield","","PRIEST","","","","True","","2","2564","","","","","","","","","","","","","","This minion is really powerful!","","","","","AT_016","","","","","","Confuse","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPIC","","","","","TGT","","","Swap the Attack and Health of all minions.","SPELL"
